event_id,content_id,user_id,event_type,event_ts,duration_ms,device,raw_payload,content_type,length_seconds,engagement_seconds,engagement_pct
4801,78600362-d470-46ad-993c-039ae575e861,9034b03c-8331-4785-b805-e35d47fad781,pause,2026-01-11 18:38:18.750706+00:00,189931.0,web-safari,"{'country': 'SA', 'city': 'Riyadh', 'language': 'ar', 'user_type': 'registered', 'is_subscribed': True, 'trial_user': False, 'autoplay': False, 'is_background_play': False}",newsletter,234,189.931,0.81
4802,78600362-d470-46ad-993c-039ae575e861,f4d3e339-929a-4372-acac-8d64e14c510d,click,2026-01-11 18:21:18.750727+00:00,,android,"{'country': 'SA', 'city': 'Riyadh', 'language': 'ar', 'user_type': 'registered', 'is_subscribed': True, 'trial_user': False, 'autoplay': False, 'is_background_play': True}",newsletter,234,,
4803,78600362-d470-46ad-993c-039ae575e861,d115ff70-a87f-4680-a47d-2daf85d740e6,click,2026-01-11 18:54:18.750740+00:00,,android,"{'country': 'SA', 'city': 'Riyadh', 'language': 'ar', 'user_type': 'registered', 'is_subscribed': True, 'trial_user': False, 'autoplay': False, 'is_background_play': True}",newsletter,234,,
4804,78600362-d470-46ad-993c-039ae575e861,d28e7720-24fd-42b0-98a3-413c8845c8b4,play,2026-01-11 18:03:18.750750+00:00,,web-safari,"{'country': 'SA', 'city': 'Riyadh', 'language': 'ar', 'user_type': 'registered', 'is_subscribed': True, 'trial_user': False, 'autoplay': False, 'is_background_play': True}",newsletter,234,,
4805,78600362-d470-46ad-993c-039ae575e861,4589870a-7297-458a-a896-106ae6e8f6ca,click,2026-01-11 17:55:18.750760+00:00,,android,"{'country': 'SA', 'city': 'Riyadh', 'language': 'ar', 'user_type': 'registered', 'is_subscribed': True, 'trial_user': False, 'autoplay': False, 'is_background_play': False}",newsletter,234,,
4806,78600362-d470-46ad-993c-039ae575e861,cae7886c-17bd-4c45-a366-15e39449f886,click,2026-01-11 17:57:18.750770+00:00,,web-chrome,"{'country': 'SA', 'city': 'Riyadh', 'language': 'ar', 'user_type': 'registered', 'is_subscribed': True, 'trial_user': False, 'autoplay': False, 'is_background_play': True}",newsletter,234,,
4807,78600362-d470-46ad-993c-039ae575e861,3d588f62-719f-4887-8bb2-879cae124526,finish,2026-01-11 18:15:18.750779+00:00,125252.0,web-safari,"{'country': 'SA', 'city': 'Riyadh', 'language': 'ar', 'user_type': 'registered', 'is_subscribed': True, 'trial_user': False, 'autoplay': False, 'is_background_play': False}",newsletter,234,125.252,0.54
4808,78600362-d470-46ad-993c-039ae575e861,526c9725-0e6b-4a5c-a8b3-174dc53d7e18,finish,2026-01-11 18:17:18.750789+00:00,,web-safari,"{'country': 'SA', 'city': 'Riyadh', 'language': 'ar', 'user_type': 'registered', 'is_subscribed': True, 'trial_user': False, 'autoplay': False, 'is_background_play': True}",newsletter,234,,
4809,78600362-d470-46ad-993c-039ae575e861,db280438-654c-4341-a0f3-2987aad84cb3,play,2026-01-11 18:16:18.750798+00:00,69455.0,web-safari,"{'country': 'SA', 'city': 'Riyadh', 'language': 'ar', 'user_type': 'registered', 'is_subscribed': True, 'trial_user': False, 'autoplay': False, 'is_background_play': False}",newsletter,234,69.455,0.3
4810,78600362-d470-46ad-993c-039ae575e861,8c8afc73-227d-43f3-8c38-e3a0d9c04572,play,2026-01-11 18:14:18.750808+00:00,154975.0,web-safari,"{'country': 'SA', 'city': 'Riyadh', 'language': 'ar', 'user_type': 'registered', 'is_subscribed': True, 'trial_user': False, 'autoplay': False, 'is_background_play': True}",newsletter,234,154.975,0.66
4811,78600362-d470-46ad-993c-039ae575e861,ca74a59a-24ea-4f2e-a9ea-a1f62294e20c,play,2026-01-11 18:26:18.750818+00:00,225557.0,ios,"{'country': 'SA', 'city': 'Riyadh', 'language': 'ar', 'user_type': 'registered', 'is_subscribed': True, 'trial_user': False, 'autoplay': False, 'is_background_play': True}",newsletter,234,225.557,0.96
4812,78600362-d470-46ad-993c-039ae575e861,f38f50f0-d4f5-42d7-9535-9fe409ef7a64,click,2026-01-11 18:18:18.750827+00:00,,web-chrome,"{'country': 'SA', 'city': 'Riyadh', 'language': 'ar', 'user_type': 'registered', 'is_subscribed': True, 'trial_user': False, 'autoplay': False, 'is_background_play': True}",newsletter,234,,
